index,symbol,companyName,floor,industryName
0,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,HOSE,Đầu tư và phát triển bất động sản
1,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2 ,HOSE,Đầu tư và phát triển bất động sản
2,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty cổ phần,HOSE,Hóa chất cơ bản
3,IDC,Tổng Công ty IDICO - CTCP,HNX,Đầu tư và phát triển bất động sản
4,IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,HOSE,Xây dựng công trình
5,ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo ,HOSE,Đầu tư và phát triển bất động sản
6,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,HOSE,Đầu tư và phát triển bất động sản
7,LHG,Công ty Cổ phần Long Hậu ,HOSE,Đầu tư và phát triển bất động sản
8,NTC,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,UPCOM,Đầu tư và phát triển bất động sản
9,PHR,Công ty Cổ phần Cao su Phước Hòa ,HOSE,Hóa chất cơ bản
10,SNZ,Tổng Công ty Cổ phần Phát triển khu Công Nghiệp,UPCOM,Đầu tư và phát triển bất động sản
11,SZB,Công ty cổ phần Sonadezi Long Bình,HNX,Dịch vụ bất động sản
12,SZC,Công ty cổ phần Sonadezi Châu Đức,HOSE,Xây dựng công trình
13,SZL,Công ty Cổ phần Sonadezi Long Thành,HOSE,Đầu tư và phát triển bất động sản
14,TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,HOSE,Quỹ tín thác bất động sản đa dạng
15,VGC,Tổng Công ty Viglacera - CTCP,HOSE,Vật liệu xây dựng
