index,symbol,companyName,floor,industryName
0,CCR,Công ty Cổ phần Cảng Cam Ranh ,HNX,Dịch vụ vận tải
1,CDN,Công ty Cổ phần Cảng Đà Nẵng,HNX,Dịch vụ vận tải
2,CLL,Công ty Cổ phần Cảng Cát Lái,HOSE,Dịch vụ vận tải
3,CNG,Công ty Cổ phần CNG Việt Nam,HOSE,Gas
4,DVP,Công ty Cổ phần Đầu tư và Phát triển cảng Đình Vũ,HOSE,Dịch vụ vận tải
5,DXP,Công ty Cổ phần Cảng Đoạn Xá,HNX,Dịch vụ vận tải
6,GIC,Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,HNX,Dịch vụ vận tải
7,GMD,Công ty Cổ phần Gemadept ,HOSE,Dịch vụ vận tải
8,GSP,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,HOSE,Gas
9,HAH,Công ty Cổ phần Vận tải và xếp dỡ Hải An ,HOSE,Dịch vụ vận tải
10,ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,HOSE,Dịch vụ bất động sản
11,MVN,Tổng Công ty Hàng hải Việt Nam – Công ty cổ phần,UPCOM,Vận tải biển
12,PHP,Công ty Cổ phần Cảng Hải Phòng,HNX,Dịch vụ vận tải
13,PVT,Tổng Công ty Cổ phần Vận tải dầu khí,HOSE,Vận tải biển
14,SGP,Công ty Cổ phần Cảng Sài Gòn,UPCOM,Dịch vụ vận tải
15,TCD,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,HOSE,Xây dựng công trình
16,TCL,Công ty Cổ phần Đại lý giao nhận Vận tải xếp dỡ Tân Cảng ,HOSE,Dịch vụ vận tải
17,VNA,Công ty Cổ phần vận tải biển VINASHIP ,UPCOM,Vận tải biển
18,VOS,Công ty Cổ phần Vận tải biển Việt Nam ,HOSE,Vận tải biển
19,VSC,Công ty Cổ phần Container Việt Nam ,HOSE,Dịch vụ vận tải
