index,symbol,companyName,floor,industryName
0,AAS,Công ty Cổ phần Chứng khoán SmartInvest,UPCOM,Dịch vụ đầu tư
1,AGR,Công ty Cổ phần Chứng khoán Agribank,HOSE,Dịch vụ đầu tư
2,APG,Công ty Cổ phần Chứng khoán APG,HOSE,Dịch vụ đầu tư
3,APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,HNX,Dịch vụ đầu tư
4,ART,Công ty cổ phần Chứng khoán BOS,HNX,Dịch vụ đầu tư
5,BMS,Công ty Cổ phần Chứng Khoán Bảo Minh,UPCOM,Dịch vụ đầu tư
6,BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,HOSE,Dịch vụ đầu tư
7,BVS,Công ty Cổ phần Chứng khoán Bảo Việt,HNX,Dịch vụ đầu tư
8,CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,HOSE,Dịch vụ đầu tư
9,DSC,Công ty cổ phần chứng khoán DSC,UPCOM,Dịch vụ đầu tư
10,EVS,Công ty Cổ phần Chứng khoán Everest,HNX,Dịch vụ đầu tư
11,FTS,Công ty Cổ phần Chứng khoán FPT,HOSE,Dịch vụ đầu tư
12,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,HNX,Dịch vụ đầu tư
13,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HOSE,Dịch vụ đầu tư
14,IVS,Công ty Cổ phần Chứng khoán Đầu tư Việt Nam,HNX,Dịch vụ đầu tư
15,MBS,Công ty Cổ phần chứng khoán MB,HNX,Dịch vụ đầu tư
16,ORS,Công ty Cổ phần Chứng khoán Tiên Phong,HOSE,Dịch vụ đầu tư
17,PSI,Công ty Cổ phần Chứng khoán Dầu khí,HNX,Dịch vụ đầu tư
18,SBS,Công ty Cổ phần Chứng khoán Ngân hàng Sài Gòn Thương tín ,UPCOM,Dịch vụ đầu tư
19,SHS,Công ty Cổ phần Chứng khoán Sài Gòn Hà Nội ,HNX,Dịch vụ đầu tư
20,SSI,Công ty Cổ phần chứng khoán SSI,HOSE,Dịch vụ đầu tư
21,TCI,Công ty cổ phần Chứng khoán Thành Công,UPCOM,Dịch vụ đầu tư
22,TVB,Công ty Cổ phần Chứng khoán Trí Việt,HOSE,Dịch vụ đầu tư
23,TVS,Công ty Cổ phần Chứng Khoán Thiên Việt,HOSE,Dịch vụ đầu tư
24,VCI,Công ty Cổ phần Chứng khoán Bản Việt,HOSE,Dịch vụ đầu tư
25,VDS,Công ty Cổ phần Chứng khoán Rồng Việt (VDSC),HOSE,Dịch vụ đầu tư
26,VFS,Công ty cổ phần chứng khoán Nhất Việt,UPCOM,Dịch vụ đầu tư
27,VIG,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam (VICS) ,HNX,Dịch vụ đầu tư
28,VIX,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VIX,HOSE,Dịch vụ đầu tư
29,VND,Công ty Cổ phần Chứng khoán VNDIRECT,HOSE,Dịch vụ đầu tư
30,WSS,Công ty Cổ phần Chứng khoán phố Wall,HNX,Dịch vụ đầu tư
