index,symbol,companyName,floor,industryName
0,ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,HOSE,Gas
1,BSR,Công ty cổ phần Lọc – Hóa dầu Bình Sơn,UPCOM,Dầu khí tổng hợp
2,CNG,Công ty Cổ phần CNG Việt Nam,HOSE,Gas
3,GAS,Tổng Công ty Khí Việt Nam - CTCP,HOSE,Gas
4,GSP,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,HOSE,Gas
5,OIL,Tổng Công ty Dầu Việt Nam – Công ty cổ phần,UPCOM,Dầu khí tổng hợp
6,PGC,Tổng Công ty Gas Petrolimex - CTCP,HOSE,Gas
7,PGD,Công ty Cổ phần Phân phối khí Thấp áp Dầu khí Việt Nam,HOSE,Gas
8,PGS,Công ty cổ phần kinh doanh khí miền nam,HNX,Gas
9,PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,HNX,Hóa chất đặc biệt
10,PLX,Tập đoàn Xăng dầu Việt Nam,HOSE,Dầu khí tổng hợp
11,POW,Tổng Công ty Điện lực Dầu khí Việt Nam – Công ty cổ phần,HOSE,Điện
12,PSH,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,HOSE,Dầu khí tổng hợp
13,PVB,Công ty Cổ phần Bọc Ống Dầu khí Việt Nam ,HNX,Dịch vụ và Thiết bị dầu khí
14,PVC,Tổng công ty Hóa chất và Dịch vụ Dầu khí - CTCP (PVChem),HNX,Dịch vụ và Thiết bị dầu khí
15,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan dầu khí,HOSE,Dịch vụ và Thiết bị dầu khí
16,PVG,CÔNG TY CỔ PHẦN KINH DOANH LPG VIỆT NAM,HNX,Gas
17,PVM,Công ty cổ phần Máy - Thiết bị Dầu khí,UPCOM,Máy công nghiệp
18,PVO,Công ty Cổ phần DẦU NHỜN PV OIL,UPCOM,Dịch vụ và Thiết bị dầu khí
19,PVP,Công ty cổ phần Vận tải Dầu khí Thái Bình Dương,UPCOM,Vận tải biển
20,PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,Dịch vụ và Thiết bị dầu khí
21,PVT,Tổng Công ty Cổ phần Vận tải dầu khí,HOSE,Vận tải biển
22,PVX,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,UPCOM,Xây dựng công trình
23,PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,HOSE,Xây dựng công trình
