index,symbol,companyName,floor,industryName
0,AAV,Công ty cổ phần Việt Tiên Sơn Địa ốc,HNX,Xây dựng công trình
1,ACM,Công ty Cổ phần Tập đoàn khoáng sản Á Cường,HNX,Khai khoáng nói chung
2,ADC,Công ty Cổ phần Mĩ thuật và Truyền thông ,HNX,Hoạt động xuất bản
3,ALT,Công ty Cổ phần văn hoá Tân Bình ,HNX,Hoạt động xuất bản
4,AMC,Công ty Cổ phần Khoáng sản Á Châu,HNX,Khai khoáng nói chung
5,AME,Công ty Cổ phần Alphanam E&C,HNX,Thiết bị điện
6,AMV,Công ty Cổ phần Sản xuất kinh doanh dược và Trang thiết bị y tế Việt Mỹ,HNX,Thiết bị y tế
7,API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,HNX,Tài chính chuyên biệt
8,APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ ,HNX,Hóa chất đặc biệt
9,APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,HNX,Dịch vụ đầu tư
10,ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,HNX,Cung ứng
11,ART,Công ty cổ phần Chứng khoán BOS,HNX,Dịch vụ đầu tư
12,ATS,Công ty cổ phần Suất ăn công nghiệp Atesco,HNX,Nhà hàng & quầy bar
13,BAB,Ngân hàng Thương mại cổ phần Bắc Á,HNX,Ngân hàng
14,BAX,Công ty Cổ phần Thống Nhất,HNX,Đầu tư và phát triển bất động sản
15,BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,HNX,Bao bì & đóng gói
16,BCC,Công ty Cổ phần Xi măng Bỉm Sơn,HNX,Vật liệu xây dựng
17,BCF,Công ty Cổ phần Thực phẩm Bích Chi,HNX,Sản xuất thực phẩm
18,BDB,Công ty Cổ phần Sách và Thiết bị Bình Định ,HNX,Cửa hàng chuyên dụng
19,BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,HNX,Cửa hàng chuyên dụng
20,BII,Công ty Cổ phần Louis Land,HNX,Đầu tư và phát triển bất động sản
21,BKC,Công ty Cổ phần Khoáng sản Bắc Kạn ,HNX,Khai khoáng nói chung
22,BLF,Công ty Cổ phần Thủy sản Bạc Liêu,HNX,Nông sản và thủy hải sản
23,BNA,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,HNX,Bán lẻ thực phẩm
24,BPC,Công ty Cổ phần Vicem Bao bì Bỉm sơn,HNX,Bao bì & đóng gói
25,BSC,Công ty Cổ phần Dịch vụ Bến Thành,HNX,Bán lẻ tổng hợp
26,BST,Công ty Cổ phần Sách - Thiết bị Bình Thuận ,HNX,Cửa hàng chuyên dụng
27,BTS,Công ty Cổ phần Xi măng Vicem Bút Sơn,HNX,Vật liệu xây dựng
28,BTW,Công ty Cổ phần Cấp nước Bến Thành,HNX,Nước
29,BVS,Công ty Cổ phần Chứng khoán Bảo Việt,HNX,Dịch vụ đầu tư
30,BXH,Công ty Cổ phần Vicem Bao bì Hải Phòng,HNX,Bao bì & đóng gói
31,C69,Công ty cổ phần Xây dựng 1369,HNX,Xây dựng công trình
32,C92,Công ty Cổ phần Xây dựng và Đầu tư 492,HNX,Xây dựng công trình
33,CAG,Công ty Cổ phần Cảng An Giang,HNX,Dịch vụ vận tải
34,CAN,Công ty Cổ phần Đồ hộp Hạ Long,HNX,Sản xuất thực phẩm
35,CAP,Công ty Cổ phần Lâm nông sản thực phẩm Yên Bái,HNX,Giấy
36,CCR,Công ty Cổ phần Cảng Cam Ranh ,HNX,Dịch vụ vận tải
37,CDN,Công ty Cổ phần Cảng Đà Nẵng,HNX,Dịch vụ vận tải
38,CEO,Công ty Cổ phần Tập Đoàn C.E.O,HNX,Đầu tư và phát triển bất động sản
39,CET,CÔNG TY CỔ PHẦN HTC HOLDING,HNX,Hóa chất đặc biệt
40,CIA,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,HNX,Dịch vụ vận tải
41,CJC,Công ty Cổ phần Cơ điện Miền Trung (CEMC),HNX,Máy công nghiệp
42,CKV,Công ty Cổ phần COKYVINA ,HNX,Thiết bị viễn thông
43,CLH,Công ty Cổ phần xi măng La Hiên - VVMI,HNX,Vật liệu xây dựng
44,CLM,Công ty cổ phần Xuất nhập khẩu Than - Vinacomin,HNX,Cung ứng
45,CMC,Công ty Cổ phần Đầu tư CMC ,HNX,Xây dựng công trình
46,CMS,Công ty cổ phần CMVIETNAM,HNX,Dịch vụ cung ứng lao động và đào tạo
