index,symbol,companyName,floor,industryName
0,AAA,Công ty cổ phần Nhựa An Phát Xanh,HOSE,Bao bì & đóng gói
1,AAM,Công ty Cổ phần Thủy sản Mekong,HOSE,Nông sản và thủy hải sản
2,AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,HOSE,"Đồ may mặc, trang sức, phụ kiện"
3,ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,HOSE,Sản phẩm sinh hóa
4,ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,HOSE,Nông sản và thủy hải sản
5,ACB,Ngân hàng Thương mại Cổ phần Á Châu,HOSE,Ngân hàng
6,ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,HOSE,Vật liệu xây dựng
7,ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,HOSE,Nông sản và thủy hải sản
8,ADG,Công ty Cổ phần Clever Group,HOSE,Các hãng truyền thông
9,ADS,Công ty Cổ phần Damsan,HOSE,Hóa chất cơ bản
10,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,HOSE,Đầu tư và phát triển bất động sản
11,AGM,Công ty Cổ phần xuất nhập khẩu An Giang,HOSE,Sản xuất thực phẩm
12,AGR,Công ty Cổ phần Chứng khoán Agribank,HOSE,Dịch vụ đầu tư
13,AMD,Công ty cổ phần đầu tư và khoáng sản FLC Stone,HOSE,Bán lẻ tổng hợp
14,ANV,Công ty TNHH Amicogen Nam Việt,HOSE,Nông sản và thủy hải sản
15,APC,Công ty Cổ phần Chiếu xạ An Phú,HOSE,Hóa chất đặc biệt
16,APG,Công ty Cổ phần Chứng khoán APG,HOSE,Dịch vụ đầu tư
17,APH,Công ty cổ phần Tập đoàn An Phát Holdings,HOSE,Hóa chất cơ bản
18,ASG,Công ty Cổ phần Tập đoàn ASG,HOSE,Dịch vụ vận tải
19,ASM,Công ty Cổ phần Tập đoàn Sao Mai ,HOSE,Đầu tư và phát triển bất động sản
20,ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,HOSE,Gas
21,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,HOSE,Dịch vụ tiêu dùng chuyên dụng
22,BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,HOSE,Nông sản và thủy hải sản
23,BBC,Công ty Cổ phần Bibica,HOSE,Sản xuất thực phẩm
24,BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,HOSE,Xây dựng công trình
25,BCG,Công ty Cổ phần Bamboo Capital,HOSE,Dịch vụ hỗ trợ kinh doanh
26,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,HOSE,Đầu tư và phát triển bất động sản
27,BFC,Công ty Cổ phần Phân bón Bình Điền ,HOSE,Hóa chất đặc biệt
28,BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HOSE,Sản xuất bia
29,BIC,Tổng Công ty Cổ phần Bảo Hiểm Ngân hàng Đầu tư và Phát triển Việt Nam ,HOSE,Bảo hiểm đa ngành
30,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,HOSE,Ngân hàng
31,BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,HOSE,Chế phẩm từ gỗ
32,BMC,Công ty Cổ phần Khoáng sản Bình Định,HOSE,Khai khoáng nói chung
33,BMI,Tổng Công ty Cổ phần Bảo Minh ,HOSE,Bảo hiểm đa ngành
34,BMP,Công ty Cổ phần nhựa Bình Minh,HOSE,Vật liệu xây dựng
35,BRC,Công ty Cổ phần Cao su Bến Thành ,HOSE,Hóa chất cơ bản
36,BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,HOSE,Dịch vụ đầu tư
37,BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,HOSE,Điện
38,BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,HOSE,Cửa hàng chuyên dụng
39,BVH,Tập đoàn Bảo Việt ,HOSE,Bảo hiểm đa ngành
40,BWE,Công ty Cổ phần Nước - Môi trường Bình Dương,HOSE,Nước
41,C32,Công ty cổ phần CIC39,HOSE,Vật liệu xây dựng
42,C47,Công ty Cổ phần Xây dựng 47,HOSE,Vật liệu xây dựng
43,CAV,Công ty Cổ phần dây cáp điện Việt Nam ,HOSE,Thiết bị điện
44,CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,HOSE,Cửa hàng chuyên dụng
45,CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,HOSE,Đầu tư và phát triển bất động sản
46,CDC,Công ty Cổ phần Chương Dương,HOSE,Xây dựng công trình
47,CEE,Công ty Cổ phần Xây dựng Hạ tầng CII,HOSE,Xây dựng công trình
48,CHP,Công ty Cổ phần Thủy điện miền Trung,HOSE,Điện
49,CIG,Công ty Cổ phần COMA18,HOSE,Đầu tư và phát triển bất động sản
