index,symbol,companyName,floor,industryName
0,HPG,Công ty Cổ phần Tập đoàn Hòa Phát,HOSE,Thép
1,HSG,Công ty Cổ phần Tập đoàn Hoa Sen,HOSE,Thép
2,NKG,Công ty Cổ phần Thép Nam Kim,HOSE,Thép
3,POM,Công ty Cổ phần Thép Pomina,HOSE,Thép
4,SMC,Công ty Cổ phần đầu tư thương mại SMC ,HOSE,Thép
5,TIS,Công ty Cổ phần Gang thép Thái Nguyên ,UPCOM,Thép
6,TLH,Công ty Cổ phần Tập đoàn thép Tiến Lên,HOSE,Thép
7,TVN,Tổng công ty Thép Việt Nam - CTCP,UPCOM,Thép
8,VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,HOSE,Thép
9,VGS,Công ty Cổ phần Ống thép Việt Đức VG PIPE,HNX,Thép
10,VIS,Công ty Cổ phần Thép Việt Ý,HOSE,Thép
