index,symbol,companyName,floor,industryName
0,A32,Công ty cổ phần 32,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
1,AAS,Công ty Cổ phần Chứng khoán SmartInvest,UPCOM,Dịch vụ đầu tư
2,ABB,Ngân hàng Thương mại Cổ phần An Bình,UPCOM,Ngân hàng
3,ABC,Công ty cổ phần Truyền thông VMG,UPCOM,Dịch vụ viễn thông di động
4,ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp (ABIC) ,UPCOM,Bảo hiểm đa ngành
5,ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,UPCOM,Dịch vụ tiện ích tổng hợp
6,ACE,Công ty Cổ phần Bê tông ly tâm An Giang,UPCOM,Vật liệu xây dựng
7,ACG,Công ty Cổ phần Gỗ An Cường,UPCOM,"Đồ đạc, nội thất"
8,ACS,Công ty Cổ phần Xây lắp Thương mại 2,UPCOM,Xây dựng công trình
9,ACV,Tổng công ty cảng hàng không Việt Nam - CTCP,UPCOM,Dịch vụ vận tải
10,ADP,Công ty Cổ phần Sơn Á Đông ,UPCOM,Vật liệu xây dựng
11,AFX,Công ty Cổ phần Xuất nhập khẩu Nông sản thực phẩm An Giang,UPCOM,Nông sản và thủy hải sản
12,AG1,Công ty Cổ phần 28.1,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
13,AGF,Công ty Cổ phần Xuất nhập khẩu thủy sản An Giang ,UPCOM,Nông sản và thủy hải sản
14,AGP,Công ty Cổ phần Dược phẩm Agimexpharm,UPCOM,Dược phẩm
15,AGX,Công ty Cổ phần nông sản xuất khẩu Sài Gòn ,UPCOM,Sản xuất thực phẩm
16,AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,UPCOM,Bảo hiểm đa ngành
17,ALV,Công ty Cổ phần Xây dựng ALVICO,UPCOM,Vật liệu xây dựng
18,AMP,Công ty Cổ phần Armephaco,UPCOM,Thiết bị y tế
19,AMS,Công ty cổ phần Cơ khí Xây dựng AMECC,UPCOM,Vật liệu xây dựng
20,ANT,Công ty Cổ phần Rau quả thực phẩm An Giang,UPCOM,Sản xuất thực phẩm
21,APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,UPCOM,Sản xuất thực phẩm
22,APL,Công ty cổ phần Cơ khí và thiết bị áp lực – VVMI,UPCOM,Vật liệu xây dựng
23,APT,Công ty Cổ phần Kinh doanh Thủy hải sản Sài Gòn,UPCOM,Sản xuất thực phẩm
24,ASA,Công ty Cổ phần ASA,UPCOM,Sản phẩm gia dụng không lâu bền
25,ATA,Công ty Cổ phần NTACO ,UPCOM,Nông sản và thủy hải sản
26,ATB,Công ty Cổ phần An Thịnh,UPCOM,Xây dựng công trình
27,ATG,Công ty Cổ phần An Trường An,UPCOM,Khai khoáng nói chung
28,AUM,Công ty Cổ phần Vinacafe Sơn Thành,UPCOM,Cửa hàng chuyên dụng
29,AVC,Công ty cổ phần Thủy điện A Vương,UPCOM,Điện
30,AVF,Công ty Cổ phần Việt An,UPCOM,Nông sản và thủy hải sản
31,B82,Công ty Cổ phần 482,UPCOM,Xây dựng công trình
32,BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,UPCOM,Sản xuất bia
33,BBH,Công ty cổ phần Bao bì Hoàng Thạch,UPCOM,Bao bì & đóng gói
34,BBM,Công ty Cổ phần Bia Hà Nội - Nam Định,UPCOM,Sản xuất bia
35,BBT,Công ty Cổ phần Bông Bạch Tuyết,UPCOM,Vật dụng cá nhân
