index,symbol,companyName,floor,industryName
0,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,HOSE,Đầu tư và phát triển bất động sản
1,CEO,Công ty Cổ phần Tập Đoàn C.E.O,HNX,Đầu tư và phát triển bất động sản
2,CKG,CÔNG TY CÔ PHẦN TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,HOSE,"Xây dựng, chế tạo nhà ở"
3,CRE,Công ty Cổ phần Bất động sản Thế kỷ,HOSE,Dịch vụ bất động sản
4,DIG,Tổng công ty Đầu tư phát triển Xây dựng,HOSE,Đầu tư và phát triển bất động sản
5,DXG,Công ty Cổ phần Tập đoàn Đất Xanh,HOSE,Đầu tư và phát triển bất động sản
6,DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,HOSE,Dịch vụ bất động sản
7,FLC,Công ty Cổ phần Tập đoàn FLC,HOSE,Đầu tư và phát triển bất động sản
8,HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,HOSE,Đầu tư và phát triển bất động sản
9,HDG,Công ty Cổ phần Tập đoàn Hà Đô,HOSE,Đầu tư và phát triển bất động sản
10,HPX,Công ty cổ phần Đầu tư Hải Phát,HOSE,Đầu tư và phát triển bất động sản
11,HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,HOSE,Đầu tư và phát triển bất động sản
12,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,HOSE,Đầu tư và phát triển bất động sản
13,KHG,Công ty Cổ phần Bất động sản Khải Hoàn Land,HOSE,Dịch vụ bất động sản
14,L14,Công ty Cổ phần Licogi 14,HNX,Xây dựng công trình
15,LDG,Công ty Cổ phần Đầu tư LDG ,HOSE,Đầu tư và phát triển bất động sản
16,NLG,Công ty Cổ phần Đầu tư Nam Long,HOSE,Đầu tư và phát triển bất động sản
17,NTL,Công ty Cổ phần Phát triển đô thị Từ Liêm,HOSE,Đầu tư và phát triển bất động sản
18,NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,HOSE,Đầu tư và phát triển bất động sản
19,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt ,HOSE,Đầu tư và phát triển bất động sản
20,REE,Công ty Cổ phần Cơ điện lạnh,HOSE,Dịch vụ tiện ích tổng hợp
21,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,HOSE,Đầu tư và phát triển bất động sản
22,SSH,Công ty Cổ phần phát triển Sunshine Homes,UPCOM,"Xây dựng, chế tạo nhà ở"
23,VCR,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex,UPCOM,Đầu tư và phát triển bất động sản
24,VHM,Công ty cổ phần Vinhomes,HOSE,Đầu tư và phát triển bất động sản
25,VIC,Tập đoàn VINGROUP - CTCP,HOSE,Đầu tư và phát triển bất động sản
26,VRE,Công ty Cổ phần Vincom Retail,HOSE,Đầu tư và phát triển bất động sản
