index,symbol,companyName,floor,industryName
0,AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,HOSE,"Đồ may mặc, trang sức, phụ kiện"
1,ADS,Công ty Cổ phần Damsan,HOSE,Hóa chất cơ bản
2,EVE,Công ty Cổ phần Everpia,HOSE,Các sản phẩm gia dụng lâu bền
3,GIL,Công ty Cổ phần Sản Xuất Kinh Doanh Xuất Nhập Khẩu Bình Thạnh,HOSE,"Đồ may mặc, trang sức, phụ kiện"
4,GMC,Công ty cổ phần Garmex Sài Gòn,HOSE,"Đồ may mặc, trang sức, phụ kiện"
5,KMR,Công ty Cổ phần Mirae ,HOSE,"Đồ may mặc, trang sức, phụ kiện"
6,M10,Tổng công ty May 10 - Công ty Cổ phần,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
7,MSH,Công ty cổ phần May Sông Hồng,HOSE,"Đồ may mặc, trang sức, phụ kiện"
8,PPH,Tổng Công ty Cổ phần Phong Phú,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
9,SDG,Công ty Cổ phần SADICO Cần Thơ,HNX,Bao bì & đóng gói
10,STK,Công ty Cổ phần Sợi thế kỷ ,HOSE,Hóa chất cơ bản
11,TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công ,HOSE,"Đồ may mặc, trang sức, phụ kiện"
12,TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,HNX,"Đồ may mặc, trang sức, phụ kiện"
13,TVT,Tổng công ty Việt Thắng - CTCP,HOSE,"Đồ may mặc, trang sức, phụ kiện"
14,VGG,Tổng Công ty Cổ phần may Việt Tiến ,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
15,VGT,Tập đoàn Dệt May Việt Nam,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
