index,symbol,companyName,floor,industryName
0,ACV,Tổng công ty cảng hàng không Việt Nam - CTCP,UPCOM,Dịch vụ vận tải
1,ASG,Công ty Cổ phần Tập đoàn ASG,HOSE,Dịch vụ vận tải
2,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,HOSE,Dịch vụ tiêu dùng chuyên dụng
3,CIA,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,HNX,Dịch vụ vận tải
4,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HOSE,Hàng không
5,MAS,Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng ,HNX,Dịch vụ vận tải
6,NCS,Công ty cổ phần Suất ăn hàng không Nội Bài,UPCOM,Nhà hàng & quầy bar
7,NCT,Công ty Cổ phần dịch vụ hàng hóa Nội Bài ,HOSE,Dịch vụ giao nhận
8,SAS,Công ty Dịch vụ Hàng không sân bay Tân Sơn Nhất,UPCOM,Dịch vụ vận tải
9,SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,HOSE,Dịch vụ vận tải
10,VJC,Công ty cổ phần Hàng không VIETJET,HOSE,Hàng không
