index,symbol,companyName,floor,industryName
0,BCG,Công ty Cổ phần Bamboo Capital,HOSE,Dịch vụ hỗ trợ kinh doanh
1,BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,HOSE,Điện
2,DNH,Công ty cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,UPCOM,Điện
3,DTK,Tổng công ty Điện lực TKV - CTCP,HNX,Điện
4,GE2,Tổng Công ty Phát điện 2 - Công ty Cổ phần,UPCOM,Điện
5,GEG,Công ty Cổ phần Điện Gia Lai,HOSE,Điện
6,HNA,Công ty cổ phần Thủy điện Hủa Na,UPCOM,Điện
7,HND,Công ty Cổ phần Nhiệt điện Hải Phòng,UPCOM,Điện
8,NBP,Công ty Cổ phần Nhiệt điện Ninh Bình,HNX,Điện
9,NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 ,HOSE,Điện
10,PGV,Tổng Công ty Phát điện 3 - Công ty cổ phần,UPCOM,Điện
11,POW,Tổng Công ty Điện lực Dầu khí Việt Nam – Công ty cổ phần,HOSE,Điện
12,PPC,Công ty Cổ phần Nhiệt điện Phả Lại ,HOSE,Điện
13,QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,UPCOM,Điện
14,SJD,Công ty Cổ phần Thủy Điện Cần Đơn,HOSE,Điện
15,TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,HOSE,Điện
16,VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn – Sông Hinh,HOSE,Điện
