index,symbol,companyName,floor,industryName
0,BFC,Công ty Cổ phần Phân bón Bình Điền ,HOSE,Hóa chất đặc biệt
1,DCM,Công ty Cổ phần Phân Bón Dầu khí Cà Mau,HOSE,Hóa chất đặc biệt
2,DDV,Công ty Cổ phần DAP - VINACHEM,UPCOM,Hóa chất đặc biệt
3,DGC,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,HOSE,Hóa chất cơ bản
4,DHB,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,UPCOM,Hóa chất đặc biệt
5,DPM,Tổng Công ty Cổ phần Phân bón và Hóa chất dầu khí,HOSE,Hóa chất đặc biệt
6,HSI,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,UPCOM,Hóa chất đặc biệt
7,LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,HNX,Hóa chất đặc biệt
8,NFC,Công ty Cổ phần Phân lân Ninh Bình ,HNX,Hóa chất đặc biệt
9,PCE,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,HNX,Hóa chất đặc biệt
10,PMB,Công ty Cổ phần Phân bón và Hóa chất Dầu khí miền Bắc ,HNX,Hóa chất đặc biệt
11,PSW,Công ty Cổ phần Phân bón và Hóa chất dầu khí Tây Nam Bộ,HNX,Hóa chất đặc biệt
12,SFG,Công ty Cổ phần phân bón Miền Nam,HOSE,Hóa chất đặc biệt
13,VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,HOSE,Hóa chất đặc biệt
