index,symbol,companyName,floor,industryName
0,ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,HOSE,Nông sản và thủy hải sản
1,ANV,Công ty TNHH Amicogen Nam Việt,HOSE,Nông sản và thủy hải sản
2,ASM,Công ty Cổ phần Tập đoàn Sao Mai ,HOSE,Đầu tư và phát triển bất động sản
3,CMX,Công ty cổ phần Camimex Group,HOSE,Sản xuất thực phẩm
4,FMC,Công ty Cổ phần Thực phẩm Sao Ta ,HOSE,Nông sản và thủy hải sản
5,IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia IDI,HOSE,Nông sản và thủy hải sản
6,MPC,Công ty cổ phần Tập đoàn Thủy sản Minh Phú,UPCOM,Nông sản và thủy hải sản
7,SEA,Tổng Công ty Thủy sản Việt Nam – Công ty cổ phần,UPCOM,Nông sản và thủy hải sản
8,SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn,UPCOM,Nông sản và thủy hải sản
9,VHC,Công ty Cổ phần Vĩnh Hoàn,HOSE,Nông sản và thủy hải sản
