index,symbol,companyName,floor,industryName
0,BCC,Công ty Cổ phần Xi măng Bỉm Sơn,HNX,Vật liệu xây dựng
1,BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,HOSE,Xây dựng công trình
2,BTS,Công ty Cổ phần Xi măng Vicem Bút Sơn,HNX,Vật liệu xây dựng
3,C32,Công ty cổ phần CIC39,HOSE,Vật liệu xây dựng
4,C4G,Công ty cổ phần Tập đoàn CIENCO4,UPCOM,Xây dựng công trình
5,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh ,HOSE,Đầu tư và phát triển bất động sản
6,CTD,Công ty Cổ phần Xây dựng Coteccons,HOSE,Xây dựng công trình
7,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,HOSE,Xây dựng công trình
8,DHA,Công ty Cổ phần Hoá An,HOSE,Vật liệu xây dựng
9,DPG,Công ty Cổ phần Tập đoàn Đạt Phương,HOSE,Xây dựng công trình
10,FCN,Công ty Cổ phần FECON,HOSE,Xây dựng công trình
11,G36,Tổng công ty 36 - CTCP,UPCOM,Xây dựng công trình
12,HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,HOSE,Xây dựng công trình
13,HHV,Công ty Cổ phần Đầu tư hạ tầng giao thông Đèo Cả,UPCOM,Dịch vụ vận tải
14,HOM,Công ty Cổ phần Xi măng Vicem Hoàng Mai,HNX,Vật liệu xây dựng
15,HT1,Công ty Cổ phần xi măng Hà Tiên 1,HOSE,Vật liệu xây dựng
16,HTN,Công ty cổ phần Hưng Thịnh Incons,HOSE,Xây dựng công trình
17,HUT,Công ty Cổ phần TASCO ,HNX,Xây dựng công trình
18,KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,HOSE,Khai khoáng nói chung
19,LCG,Công ty Cổ phần LICOGI 16,HOSE,Xây dựng công trình
20,NNC,Công ty Cổ phần Đá Núi Nhỏ,HOSE,Vật liệu xây dựng
21,PC1,Công ty cổ phần Xây lắp điện I,HOSE,Xây dựng công trình
22,PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,HOSE,Xây dựng công trình
23,QNC,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,UPCOM,Vật liệu xây dựng
24,ROS,Công ty cổ phần Xây dựng FLC Faros,HOSE,Xây dựng công trình
25,S99,Công ty Cổ phần SCI,HNX,Xây dựng công trình
26,SCI,Công ty cổ phần SCI E&C,HNX,Xây dựng công trình
27,SCJ,Công ty Cổ phần Xi măng Sài Sơn,UPCOM,Vật liệu xây dựng
28,TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,HOSE,Điện
29,TV2,Công ty Cổ phần Tư vấn Xây dựng điện 2,HOSE,Dịch vụ hỗ trợ kinh doanh
30,VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và xây dựng Việt Nam ,HOSE,Xây dựng công trình
31,VCS,Công ty Cổ phần VICOSTONE,HNX,Vật liệu xây dựng
32,VGC,Tổng Công ty Viglacera - CTCP,HOSE,Vật liệu xây dựng
33,VTV,CÔNG TY CỔ PHẦN NĂNG LƯỢNG VÀ MÔI TRƯỜNG VICEM,HNX,Vật liệu xây dựng
